scenario,seed,drift_level,accuracy,f1,roc_auc,precision,recall,rt_psi,rt_entropy,rt_stability,rt_model_score,rd_data_anomaly_rate,rd_data_score_mean,agg_unified_mean,agg_unified_std,agg_threshold_hits,agg_w_data,agg_w_model
A,51,0.0,0.9969625,0.9809620808523973,0.9996108079993207,0.9837366436203645,0.978203125,0.00016410451679777863,0.5091438752460031,0.00013951863964103988,0.1707231336293582,0.04993125,0.4150129283148027,0.18204457567901827,0.04108808409931366,0.0,0.3,0.7
A,51,0.5,0.9861375,0.9073671901102572,0.9506948305876358,0.9747846374730796,0.848671875,0.008262530008579334,0.5146080907445335,8.065834856351365e-05,0.17480938239686575,0.0454125,0.41538075836849786,0.1850339136916205,0.04027590732797364,0.0,0.3,0.7
A,51,1.0,0.98545,0.9033463422735198,0.9497872335682744,0.9639376218323586,0.849921875,0.008619501050011238,0.5145477893739919,0.000132809383884424,0.1752511952673986,0.04775,0.4176389598097308,0.18706929996158975,0.04070337414645409,0.0,0.3,0.7
A,51,1.5,0.98414375,0.8956439471844021,0.9483336526621944,0.9457909825384415,0.850546875,0.009169089847715094,0.5147279965526584,0.00044124924684700123,0.17774810069682598,0.05164375,0.42092539359637976,0.19393092164947573,0.042632551061736246,0.0,0.3,0.7
A,51,2.0,0.98185,0.8823529411764706,0.9468237755816916,0.916358128576237,0.85078125,0.009975775202421357,0.5148840012044741,0.0001845088240691697,0.1755591238287867,0.0583125,0.42526113328376924,0.19583578989212075,0.042895684750870626,0.0,0.3,0.7
A,51,4.0,0.95609375,0.7566762495237436,0.9304899801503057,0.6796714579055442,0.853359375,0.04113028883296969,0.5179216897886691,0.0007725033706879483,0.18996794622049382,0.12451875,0.4513671103427918,0.22455671541402125,0.043890655374365685,0.0,0.3,0.7
B,42,0.0,0.99699375,0.9812395179219159,0.9996120022391509,0.982734375,0.9797492016512189,0.3964021743614982,0.5052417804460367,8.982023814596979e-05,0.23707734629319074,0.0023625,0.4020863414190423,0.23548867477203894,0.0367582981282841,0.0,0.3,0.7
B,42,0.5,0.99699375,0.9812395179219159,0.9996120022391509,0.982734375,0.9797492016512189,0.3292715767475097,0.5056191021730345,0.0003288132040866896,0.22913110461505334,0.0054375,0.40711074715158135,0.2318825089001645,0.03741200414713614,0.0,0.3,0.7
B,42,1.0,0.99699375,0.9812395179219159,0.9996120022391509,0.982734375,0.9797492016512189,0.23715993333250487,0.5079514119292485,0.0003308834460433734,0.21534175773403386,0.02719375,0.4237635654319125,0.23254671103298882,0.040301757931957415,0.0,0.3,0.7
B,42,1.5,0.99699375,0.9812395179219159,0.9996120022391509,0.982734375,0.9797492016512189,0.16951453628012444,0.5170914660003683,0.0012006304256333602,0.21976183543738803,0.11644375,0.4506419805065196,0.25522451368262755,0.04350014738176631,0.0,0.3,0.7
B,42,2.0,0.99699375,0.9812395179219159,0.9996120022391509,0.982734375,0.9797492016512189,0.3511083644791486,0.538017734925539,0.0015830725368021375,0.26359526840296893,0.33273125,0.48436252157317977,0.30908241111766477,0.043663133815342155,0.0,0.3,0.7
B,42,4.0,0.99699375,0.9812395179219159,0.9996120022391509,0.982734375,0.9797492016512189,5.4376673955321255,0.2628109628808854,0.0007436323880225788,0.4310838846909603,0.9955125,0.6152433498357672,0.5047031505176494,0.03329570313681673,0.59575625,0.3,0.7
B,43,0.0,0.99743125,0.9838842489118927,0.9997503679347313,0.98015625,0.9876407147917815,1.1483310373297846,0.5072868923112273,0.00013364102282240788,0.36189190099394675,0.00311875,0.405429382800227,0.324520614385359,0.03767740101448635,0.00025625,0.3,0.7
B,43,0.5,0.99743125,0.9838842489118927,0.9997503679347313,0.98015625,0.9876407147917815,0.47370414938079575,0.5093785104077353,0.00011989070934097271,0.2502930225782186,0.0069125,0.4123851515500499,0.25362463983054667,0.039158105007085255,0.0,0.3,0.7
B,43,1.0,0.99743125,0.9838842489118927,0.9997503679347313,0.98015625,0.9876407147917815,0.295947645908338,0.5150622179388259,9.132510531358648e-05,0.22361183457947745,0.0290125,0.4302073490588746,0.2453751307659403,0.04065453269509237,0.0,0.3,0.7
B,43,1.5,0.99743125,0.9838842489118927,0.9997503679347313,0.98015625,0.9876407147917815,0.19671504067273254,0.5305912378745997,0.0008869520272610804,0.2216636005837084,0.11069375,0.4560528212918791,0.2611013230205264,0.04087846459944751,0.0,0.3,0.7
B,43,2.0,0.99743125,0.9838842489118927,0.9997503679347313,0.98015625,0.9876407147917815,0.36875134819856203,0.5603612326785884,0.0019407671080427218,0.2824212461384738,0.30856875,0.4862826925320283,0.32193615041048707,0.04026960041537425,0.0,0.3,0.7
B,43,4.0,0.99743125,0.9838842489118927,0.9997503679347313,0.98015625,0.9876407147917815,5.4126195395303585,0.29667243186567255,0.00040493318476182504,0.4392552023364315,0.99279375,0.6015266404343776,0.4870825966269077,0.03752458746510759,0.40266875,0.3,0.7
B,44,0.0,0.997375,0.9835255354200988,0.9995046388422021,0.979453125,0.987631952103356,0.36539079237457783,0.4933077547345032,2.3285231852375416e-07,0.22533807147406415,0.0046125,0.41450196390816557,0.2321213752196166,0.037471689251057705,0.0,0.3,0.7
B,44,0.5,0.997375,0.9835255354200988,0.9995046388422021,0.979453125,0.987631952103356,0.28245231855941816,0.4927176325851371,0.0001902681964359443,0.2142177207140061,0.00899375,0.4210974330628435,0.23260790827222427,0.04042412988201669,0.0,0.3,0.7
B,44,1.0,0.997375,0.9835255354200988,0.9995046388422021,0.979453125,0.987631952103356,0.18667090007205836,0.49255575845563343,4.652230002621322e-05,0.19849076050191775,0.03440625,0.4391171115115536,0.23420965988986253,0.0432337698334632,0.0,0.3,0.7
B,44,1.5,0.997375,0.9835255354200988,0.9995046388422021,0.979453125,0.987631952103356,0.1733431831851272,0.49473957006783165,0.001143631480419151,0.21449353843097255,0.12153125,0.46499892756696065,0.26513909500594496,0.043987498289773996,0.0,0.3,0.7
B,44,2.0,0.997375,0.9835255354200988,0.9995046388422021,0.979453125,0.987631952103356,0.4369932413821604,0.4972788329705385,0.001879765096296075,0.2727596243571106,0.31813125,0.49454885854532565,0.3252771115124579,0.0401330975873383,0.0,0.3,0.7
B,44,4.0,0.997375,0.9835255354200988,0.9995046388422021,0.979453125,0.987631952103356,5.581531721183498,0.16796018200529278,0.0008435259376097881,0.40380352317336404,0.990325,0.5909936211014799,0.450894645415125,0.03318354460638035,0.05145625,0.3,0.7
B,45,0.0,0.99630625,0.976976119054112,0.9995873834897262,0.979609375,0.9743569818944751,1.0964447166372473,0.4957787785376259,3.341068432349632e-05,0.34822368996014824,0.004225,0.3978448421035849,0.30811308976682755,0.035578815700697285,7.5e-05,0.3,0.7
B,45,0.5,0.99630625,0.976976119054112,0.9995873834897262,0.979609375,0.9743569818944751,1.05444587847427,0.49850559489432006,4.481396291455409e-05,0.3422353028434572,0.0093875,0.40477389590730634,0.30961874019005425,0.038372758579681795,7.5e-05,0.3,0.7
B,45,1.0,0.99630625,0.976976119054112,0.9995873834897262,0.979609375,0.9743569818944751,0.2870887267025715,0.5045294344970018,0.0003716622514171312,0.22027729181277744,0.03706875,0.42348731743188817,0.23994473614363673,0.04292231165343851,0.0,0.3,0.7
B,45,1.5,0.99630625,0.976976119054112,0.9995873834897262,0.979609375,0.9743569818944751,0.19809569214413944,0.5182428907363513,0.0008523516311745048,0.2193005248636801,0.1340625,0.4519228498423825,0.25902683655668834,0.04527195623586812,0.0,0.3,0.7
B,45,2.0,0.99630625,0.976976119054112,0.9995873834897262,0.979609375,0.9743569818944751,0.3662347827670402,0.5425208317290904,0.0019914760326339943,0.2733467644322222,0.35325625,0.48667141931269653,0.31860140775869505,0.04555163257870045,0.0,0.3,0.7
B,45,4.0,0.99630625,0.976976119054112,0.9995873834897262,0.979609375,0.9743569818944751,5.435482604866582,0.24410919358508426,0.0009914637372053427,0.43261022619706174,0.9951625,0.6196061156111832,0.4939522010902966,0.03628883249831575,0.48026875,0.3,0.7
B,46,0.0,0.99746875,0.9841642228739003,0.9996216092957815,0.983203125,0.9851272015655578,0.35452623794626104,0.49571159375625995,2.643962056048309e-05,0.2246841375894011,0.0046,0.4067045860510703,0.2370417698623604,0.04082732366342443,0.0,0.3,0.7
B,46,0.5,0.99746875,0.9841642228739003,0.9996216092957815,0.983203125,0.9851272015655578,0.31918078584474807,0.49654742379875927,7.133848961034311e-05,0.21904154914456042,0.00905625,0.41303027752424204,0.23310062956308455,0.04008231990090332,0.0,0.3,0.7
B,46,1.0,0.99746875,0.9841642228739003,0.9996216092957815,0.983203125,0.9851272015655578,0.29413084232900705,0.5025857944037867,0.00027527050056177745,0.22031934969732567,0.0305125,0.4301915295657904,0.2472417063012811,0.04209971246694468,0.0,0.3,0.7
B,46,1.5,0.99746875,0.9841642228739003,0.9996216092957815,0.983203125,0.9851272015655578,0.2887832636821908,0.5232226815938429,0.0005697859822626934,0.2328718515173449,0.10484375,0.4553249000451773,0.2780673462889594,0.04406857251180281,0.0,0.3,0.7
